	Bcell_HPCA	DC_HPCA	Fibroblasts_HPCA	MSC_HPCA	Macrophage_HPCA	Monocyte_HPCA	NK cells_HPCA	Tcell_HPCA	Adipocytes_ENCODE	CD4+ Tcell_ENCODE	CD8+ T-cells_ENCODE	Bcell_ENCODE	DC_ENCODE	Eosinophils_ENCODE	Fibroblasts_ENCODE	Macrophage_ENCODE	Monocyte_ENCODE	NK cells_ENCODE
ACAP2	9.0	9.0	8.0	8.0	9.0	9.0	9.0	9.0	9.0	10.0	10.0	9.0	9.0	10.0	9.0	10.0	10.0	10.0
ACAP3	6.0	7.0	6.0	6.0	7.0	7.0	6.0	6.0	8.0	7.0	7.0	9.0	6.0	10.0	8.0	7.0	6.0	7.0
ACAT1	8.0	8.0	9.0	9.0	8.0	8.0	7.0	8.0	10.0	8.0	8.0	8.0	7.0	6.0	10.0	9.0	8.0	7.0
ACAT2	9.0	9.0	9.0	10.0	10.0	8.0	9.0	9.0	7.0	8.0	8.0	7.0	10.0	7.0	8.0	10.0	8.0	8.0
ACBD3	10.0	9.0	10.0	10.0	9.0	9.0	10.0	9.0	9.0	8.0	8.0	9.0	8.0	7.0	9.0	9.0	8.0	8.0
ACBD4	8.0	7.0	6.0	6.0	7.0	7.0	7.0	8.0	5.0	7.0	7.0	8.0	6.0	7.0	5.0	6.0	4.0	6.0
ACBD5	9.0	9.0	9.0	9.0	9.0	9.0	10.0	9.0	7.0	8.0	8.0	7.0	9.0	8.0	7.0	8.0	8.0	9.0
ACBD6	8.0	7.0	9.0	9.0	7.0	7.0	8.0	8.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
ACBD7	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ACCS	8.0	7.0	8.0	6.0	7.0	8.0	7.0	8.0	7.0	8.0	7.0	8.0	7.0	10.0	7.0	7.0	7.0	7.0
ACCSL	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ACD	9.0	8.0	8.0	9.0	7.0	8.0	9.0	8.0	7.0	7.0	7.0	8.0	7.0	7.0	7.0	6.0	7.0	8.0
ACE	4.0	8.0	5.0	4.0	7.0	5.0	4.0	4.0	7.0	2.0	3.0	1.0	7.0	1.0	5.0	7.0	1.0	1.0
ACE2	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ACER1	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ACER2	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.0	3.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0
ACER3	5.0	8.0	7.0	7.0	8.0	8.0	6.0	5.0	7.0	5.0	6.0	5.0	8.0	7.0	6.0	9.0	8.0	6.0
ACHE	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0	1.0	1.0
ACIN1	8.0	8.0	7.0	8.0	8.0	8.0	9.0	8.0	10.0	10.0	10.0	10.0	10.0	10.0	9.0	9.0	9.0	10.0
ACKR1	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
ACKR2	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
ACKR3	6.0	4.0	8.0	6.0	3.0	4.0	6.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
